Images space usage:

REPOSITORY                               TAG                                  IMAGE ID       CREATED         SIZE      SHARED SIZE   UNIQUE SIZE   CONTAINERS
sweb.env.x86_64.5d1fda9d55d65d8a4e5bdb   latest                               bc359efc495e   6 weeks ago     2.711GB   1.443GB       1.268GB       0
sweb.env.x86_64.756beac07713d7e8dc1129   latest                               ff7be8889b48   6 weeks ago     2.715GB   1.443GB       1.272GB       0
sweb.env.x86_64.088a7e628bda9770f9757b   latest                               27c53b54431d   6 weeks ago     2.712GB   1.443GB       1.269GB       0
sweb.env.x86_64.f45b85486922bdccb83010   latest                               7b6744ab70d5   6 weeks ago     5.375GB   1.443GB       3.932GB       0
sweb.env.x86_64.6b6c43248aa28ed62e8334   latest                               e71b2a3e9a42   6 weeks ago     5.285GB   1.443GB       3.842GB       0
sweb.env.x86_64.62bfc5a3a7fdf6d9876424   latest                               6d35132b060c   6 weeks ago     5.387GB   1.443GB       3.944GB       0
sweb.env.x86_64.1d8be2d7f231bb6eb5617e   latest                               2db84b343923   6 weeks ago     2.752GB   1.443GB       1.31GB        0
sweb.env.x86_64.7f83a0ba1392a745c061ce   latest                               bc824f8ce63f   6 weeks ago     2.711GB   1.443GB       1.268GB       0
sweb.env.x86_64.b649f0ff62fad147f7f073   latest                               1f384f19805a   6 weeks ago     2.847GB   1.443GB       1.405GB       0
sweb.env.x86_64.e3afd7f04b325a4de4982d   latest                               85c08ed88fea   6 weeks ago     2.846GB   1.443GB       1.404GB       0
sweb.env.x86_64.502d8fc6ebccd881244091   latest                               5f05823656de   6 weeks ago     5.767GB   1.443GB       4.325GB       0
sweb.env.x86_64.d905bb51fb68acc5d4221b   latest                               4ac7a25c273d   6 weeks ago     2.876GB   1.443GB       1.433GB       0
sweb.env.x86_64.3fe497ff330d2fdbe9374a   latest                               a427c72d8383   6 weeks ago     2.876GB   1.443GB       1.434GB       0
sweb.env.x86_64.78278ae2cf880e395f1337   latest                               5c59726a3860   6 weeks ago     2.976GB   1.443GB       1.533GB       0
sweb.env.x86_64.1f92e6d7cef88badc4f744   latest                               cdec1e4c2787   6 weeks ago     2.721GB   1.443GB       1.279GB       0
sweb.env.x86_64.b382c45e0a94d34ef0fc86   latest                               e1b23206a900   6 weeks ago     3.359GB   1.443GB       1.916GB       0
sweb.env.x86_64.89a9e6df7ab7bcb9e010c8   latest                               d12982357a28   6 weeks ago     2.985GB   1.443GB       1.542GB       0
sweb.env.x86_64.a0efca7a0fe6719dbf65c2   latest                               4e96e2ac1f17   6 weeks ago     3.156GB   1.443GB       1.714GB       0
sweb.env.x86_64.15374367de368534f261e3   latest                               7e7f7459f64c   6 weeks ago     2.746GB   1.443GB       1.303GB       0
sweb.env.x86_64.e431a8fd8580cefb475864   latest                               88e55c026d0a   6 weeks ago     2.771GB   1.443GB       1.329GB       0
sweb.env.x86_64.c70974ae7654c7a2c98577   latest                               aa01c3f94f00   6 weeks ago     2.889GB   1.443GB       1.446GB       0
sweb.env.x86_64.e83e37f52c09532c62acfb   latest                               740391694aa4   6 weeks ago     2.889GB   2.889GB       0B            0
sweb.env.x86_64.934a137824256b612e9dc5   latest                               523505637e12   6 weeks ago     2.943GB   1.443GB       1.5GB         0
sweb.env.x86_64.a33dddf55cdff5d8e23374   latest                               acaac37ac2e1   6 weeks ago     2.943GB   1.443GB       1.5GB         0
sweb.env.x86_64.c70909fdac4897d1c685df   latest                               adebb91431cb   6 weeks ago     3.002GB   1.443GB       1.56GB        0
sweb.env.x86_64.2baaea72acc974f6c02079   latest                               c706529bdc8f   6 weeks ago     2.887GB   1.443GB       1.445GB       0
sweb.env.x86_64.297af196949a2a635bce66   latest                               b7a71413f7aa   6 weeks ago     2.908GB   1.443GB       1.465GB       0
sweb.env.x86_64.a18371b03f944585b4f08c   latest                               9a72639f636d   6 weeks ago     2.887GB   2.887GB       0B            0
sweb.env.x86_64.428468730904ff6b4232aa   latest                               a3f9e6334123   6 weeks ago     2.828GB   1.443GB       1.386GB       0
sweb.base.x86_64                         latest                               800b8b201390   6 weeks ago     1.443GB   1.443GB       0B            0
rtbench-instance-vllm-54                 latest                               aa4f4fb968ac   7 weeks ago     16.89GB   16.84GB       43.9MB        0
rtbench-instance-vllm-53                 latest                               1f3e08b336ce   7 weeks ago     16.87GB   16.87GB       0B            0
rtbench-instance-vllm-52                 latest                               8a80aeb3f3e1   7 weeks ago     16.87GB   16.84GB       28.74MB       0
rtbench-instance-vllm-51                 latest                               830666ae87dc   7 weeks ago     16.87GB   16.84GB       31.48MB       0
rtbench-instance-vllm-50                 latest                               e8930826ac6e   7 weeks ago     16.88GB   16.88GB       0B            0
rtbench-instance-vllm-49                 latest                               ce3016674d79   7 weeks ago     16.88GB   16.88GB       0B            0
rtbench-instance-vllm-48                 latest                               c90f5c4f4aa8   7 weeks ago     16.88GB   16.84GB       33.89MB       0
rtbench-instance-vllm-47                 latest                               c01ad448ee7a   7 weeks ago     16.88GB   16.84GB       37.36MB       0
rtbench-instance-vllm-46                 latest                               9f07d83832d9   7 weeks ago     16.88GB   16.84GB       40.88MB       0
rtbench-instance-vllm-45                 latest                               b59095b760ce   7 weeks ago     16.88GB   16.84GB       40.89MB       0
rtbench-instance-vllm-44                 latest                               5285c6aae518   7 weeks ago     16.89GB   16.89GB       0B            0
rtbench-instance-vllm-43                 latest                               7da1a6d10589   7 weeks ago     16.89GB   16.84GB       45.09MB       0
rtbench-instance-vllm-42                 latest                               08b9b72ee3ce   7 weeks ago     16.85GB   16.84GB       4.386MB       0
rtbench-instance-vllm-41                 latest                               a9049b777cdf   7 weeks ago     16.85GB   16.84GB       4.881MB       0
rtbench-instance-vllm-40                 latest                               4d486ae7b16c   7 weeks ago     16.85GB   16.84GB       8.823MB       0
rtbench-instance-vllm-39                 latest                               84dbb678baf6   7 weeks ago     16.85GB   16.85GB       0B            0
rtbench-instance-vllm-38                 latest                               49f768be2ced   7 weeks ago     16.85GB   16.84GB       9.823MB       0
rtbench-instance-vllm-37                 latest                               db2bea8da839   7 weeks ago     16.86GB   16.86GB       0B            0
rtbench-instance-vllm-36                 latest                               57ee47387224   7 weeks ago     16.86GB   16.86GB       0B            0
rtbench-instance-vllm-35                 latest                               a4669bf77739   7 weeks ago     16.87GB   16.84GB       24.14MB       0
rtbench-instance-vllm-34                 latest                               142d0fcf6f6c   7 weeks ago     16.86GB   16.86GB       0B            0
rtbench-instance-vllm-33                 latest                               37688d012167   7 weeks ago     16.86GB   16.86GB       0B            0
rtbench-instance-vllm-32                 latest                               46f3d621680a   7 weeks ago     16.87GB   16.84GB       22.18MB       0
rtbench-instance-vllm-31                 latest                               4a32a1acedf8   7 weeks ago     16.87GB   16.84GB       22.18MB       0
rtbench-instance-vllm-30                 latest                               143a3da05fc6   7 weeks ago     16.87GB   16.87GB       0B            0
rtbench-instance-vllm-29                 latest                               84c8e324b457   7 weeks ago     16.87GB   16.87GB       0B            0
rtbench-instance-vllm-28                 latest                               7bac92aab5d3   7 weeks ago     16.87GB   16.87GB       0B            0
rtbench-instance-vllm-27                 latest                               0883f0362523   7 weeks ago     16.87GB   16.87GB       0B            0
rtbench-instance-vllm-26                 latest                               d0d0395478b4   7 weeks ago     16.88GB   16.88GB       0B            0
rtbench-instance-vllm-25                 latest                               5efc6bf8ff66   7 weeks ago     16.88GB   16.88GB       0B            0
rtbench-instance-vllm-24                 latest                               95fb3dd4420d   7 weeks ago     16.87GB   16.84GB       31.51MB       0
rtbench-instance-vllm-23                 latest                               fa2f934a51dc   7 weeks ago     16.88GB   16.84GB       33.93MB       0
rtbench-instance-vllm-22                 latest                               7c6e02757f1a   7 weeks ago     16.88GB   16.88GB       0B            0
rtbench-instance-vllm-21                 latest                               4df0b2394577   7 weeks ago     16.88GB   16.88GB       0B            0
rtbench-instance-vllm-20                 latest                               7ec577e9691e   7 weeks ago     16.89GB   16.89GB       0B            0
rtbench-instance-vllm-19                 latest                               5a57fd507330   7 weeks ago     16.85GB   16.85GB       0B            0
rtbench-instance-vllm-18                 latest                               f7727014679e   7 weeks ago     16.85GB   16.85GB       0B            0
rtbench-instance-vllm-17                 latest                               e3cb2cb76451   7 weeks ago     16.86GB   16.86GB       0B            0
rtbench-instance-vllm-16                 latest                               bdcf5a16b557   7 weeks ago     16.86GB   16.86GB       0B            0
rtbench-instance-vllm-15                 latest                               22c49bd5561f   7 weeks ago     16.87GB   16.87GB       0B            0
rtbench-instance-vllm-14                 latest                               7e5a1de7e8f2   7 weeks ago     16.88GB   16.88GB       0B            0
rtbench-instance-vllm-13                 latest                               9e7f79f91c3c   7 weeks ago     16.88GB   16.88GB       0B            0
rtbench-instance-vllm-12                 latest                               2bc55481aee3   7 weeks ago     16.88GB   16.84GB       38.07MB       0
rtbench-instance-vllm-11                 latest                               c7724483f9f1   7 weeks ago     16.88GB   16.88GB       0B            0
rtbench-instance-vllm-10                 latest                               0572dea96ea1   7 weeks ago     16.88GB   16.88GB       0B            0
rtbench-instance-vllm-9                  latest                               f25080de05dc   7 weeks ago     16.88GB   16.88GB       0B            0
rtbench-instance-vllm-8                  latest                               078251ae0eab   7 weeks ago     16.88GB   16.84GB       39.79MB       0
rtbench-instance-vllm-7                  latest                               afeb2e3db497   7 weeks ago     16.88GB   16.88GB       0B            0
rtbench-instance-vllm-6                  latest                               3bf3f4602991   7 weeks ago     16.89GB   16.89GB       0B            0
<none>                                   <none>                               554ef774bd70   7 weeks ago     16.89GB   16.84GB       45.07MB       0
rtbench-instance-vllm-4                  latest                               3a293a1f8412   7 weeks ago     16.89GB   16.84GB       47.39MB       1
rtbench-instance-vllm-3                  latest                               08c1f02ef04f   7 weeks ago     16.89GB   16.84GB       43.9MB        0
rtbench-instance-vllm-2                  latest                               eecc6f14768b   7 weeks ago     16.89GB   16.89GB       0B            0
rtbench-instance-vllm-1                  latest                               e94e17756cfc   7 weeks ago     16.88GB   16.88GB       0B            1
rtbench-instance-vllm-0                  latest                               9334667f31a9   7 weeks ago     16.89GB   16.89GB       0B            0
<none>                                   <none>                               c89661a86c1c   7 weeks ago     16.84GB   16.84GB       8.03kB        4
<none>                                   <none>                               2d1325d6ab2e   7 weeks ago     16.84GB   15.88GB       963.2MB       3
rtbench-vllm                             latest                               2305ba9d0999   7 weeks ago     15.88GB   15.88GB       0B            0
rtbench-base                             latest                               c2472b48e485   7 weeks ago     15.68GB   15.68GB       0B            0
<none>                                   <none>                               533ce781f7ca   7 weeks ago     11.3GB    77.82MB       11.22GB       2
<none>                                   <none>                               9e2249ced33a   7 weeks ago     8.919GB   7.955GB       963.2MB       1
<none>                                   <none>                               613e5697a6dd   7 weeks ago     8.919GB   7.955GB       963.2MB       3
bench-repo                               vamplabAI_sgr-agent-core             00a01e6d9840   7 weeks ago     1.634GB   1.414GB       219.5MB       0
bench-repo                               suyiiyii_AutoGLM-GUI                 7329f3bd0dac   7 weeks ago     1.716GB   1.418GB       298.3MB       0
<none>                                   <none>                               59406911bf41   7 weeks ago     1.897GB   1.414GB       482.6MB       1
bench-repo                               safety-research_petri                6c2a75546fc7   7 weeks ago     1.818GB   1.414GB       403.8MB       0
bench-repo                               safety-research_bloom                be6d3290f54f   7 weeks ago     2.082GB   1.414GB       668.4MB       0
<none>                                   <none>                               ee0c9f55b7fb   7 weeks ago     2.064GB   1.414GB       649.5MB       1
<none>                                   <none>                               20afcc6411db   7 weeks ago     1.742GB   1.424GB       318.4MB       1
bench-repo                               pchalasani_claude-code-tools         0967314aaa03   7 weeks ago     1.84GB    1.414GB       426.3MB       0
bench-repo                               patrick-kidger_tinyio                90bb68f94f76   7 weeks ago     1.443GB   1.414GB       28.66MB       0
bench-repo                               NevaMind-AI_memU                     ea4da641174b   7 weeks ago     2.342GB   1.424GB       918.3MB       0
bench-repo                               microsoft_typeagent-py               b73d3fc6d2f3   7 weeks ago     1.8GB     1.414GB       386MB         0
<none>                                   <none>                               95e2b91c8f90   7 weeks ago     2.005GB   1.414GB       591.2MB       1
<none>                                   <none>                               fc9b3ebf0664   7 weeks ago     1.562GB   1.414GB       147.9MB       1
<none>                                   <none>                               12eb3ca8b38d   7 weeks ago     2.112GB   1.414GB       698.4MB       1
bench-repo                               gaogaotiantian_dowhen                4dbcc355d534   7 weeks ago     1.633GB   1.414GB       218.9MB       0
<none>                                   <none>                               25eabb6e9b73   8 weeks ago     2.441GB   1.414GB       1.027GB       0
<none>                                   <none>                               29b2299f4f14   8 weeks ago     1.855GB   1.414GB       441MB         2
<none>                                   <none>                               8a1491aa8d6f   8 weeks ago     1.912GB   1.414GB       498.2MB       1
bench-repo                               toon-format_toon-python              86f023bda428   8 weeks ago     1.415GB   1.414GB       975.8kB       0
<none>                                   <none>                               77676af25e57   8 weeks ago     1.679GB   1.633GB       45.29MB       2
bench-repo                               sql-hkr_tiny8                        ebddaed3d63e   8 weeks ago     1.615GB   1.414GB       200.6MB       0
<none>                                   <none>                               7b381b38868c   8 weeks ago     1.422GB   1.414GB       8.144MB       1
<none>                                   <none>                               6e419084e88e   8 weeks ago     1.415GB   1.414GB       598.1kB       2
<none>                                   <none>                               44524dcb6a30   8 weeks ago     1.631GB   1.414GB       217.3MB       2
<none>                                   <none>                               fd62019c7584   8 weeks ago     1.417GB   1.414GB       2.616MB       1
<none>                                   <none>                               ce87f3cbcf78   8 weeks ago     1.907GB   1.414GB       492.7MB       1
<none>                                   <none>                               758d0faf35e2   8 weeks ago     1.414GB   1.414GB       406.6kB       1
<none>                                   <none>                               f211f62ed898   8 weeks ago     1.415GB   1.414GB       1.325MB       2
<none>                                   <none>                               77b0044576e0   8 weeks ago     1.551GB   1.414GB       136.7MB       2
<none>                                   <none>                               d9de7110e62c   8 weeks ago     1.556GB   1.418GB       138.7MB       1
bench-repo                               EgalitarianMonkey_hometube           77c5996d2a3c   8 weeks ago     2.638GB   1.892GB       746.7MB       0
<none>                                   <none>                               299402521661   8 weeks ago     2.047GB   1.892GB       155.6MB       3
<none>                                   <none>                               a57bc4927301   8 weeks ago     1.447GB   1.427GB       19.83MB       3
bench-repo                               davidfowl_tally                      ad2028b5941b   8 weeks ago     1.617GB   1.414GB       203.4MB       0
<none>                                   <none>                               f5d40baeced3   8 weeks ago     1.45GB    1.427GB       22.82MB       3
bench-repo                               cryxnet_DeepMCPAgent                 1b273722dfe5   8 weeks ago     1.726GB   1.414GB       312.1MB       0
<none>                                   <none>                               48c507d57606   8 weeks ago     1.446GB   1.424GB       21.87MB       3
<none>                                   <none>                               99292e840481   8 weeks ago     1.439GB   1.414GB       25.16MB       3
<none>                                   <none>                               5c3fb495ddab   8 weeks ago     1.85GB    1.633GB       216.5MB       3
<none>                                   <none>                               f1b16f8a3cdc   8 weeks ago     1.536GB   1.417GB       118.4MB       3
<none>                                   <none>                               c8a36d73cbdb   8 weeks ago     1.491GB   1.414GB       77.23MB       3
<none>                                   <none>                               c3594173011a   8 weeks ago     1.487GB   1.414GB       73.25MB       0
postgres                                 18                                   019965b81888   8 weeks ago     455.9MB   78.61MB       377.3MB       2
<none>                                   <none>                               995e86bf18c3   2 months ago    512MB     78.62MB       433.4MB       1
<none>                                   <none>                               088aa9c7dfd8   2 months ago    1.578GB   1.424GB       154.2MB       0
<none>                                   <none>                               eaaab090dd3f   2 months ago    1.536GB   1.417GB       118.4MB       1
<none>                                   <none>                               7396fc43ea64   2 months ago    1.589GB   1.414GB       175.4MB       0
bench-base                               py313                                8969a4f049e1   2 months ago    1.424GB   1.424GB       0B            0
<none>                                   <none>                               81ea8a70f1bd   2 months ago    121.9MB   121.9MB       0B            1
wrenchpilot/it-tools-mcp                 latest                               7d7c1ab0377c   2 months ago    449.1MB   0B            449.1MB       0
ghcr.io/jidicula/clang-format            19                                   a5aa40e694b2   2 months ago    327.3MB   0B            327.3MB       0
test/sqlfluff__sqlfluff-a833aa1          latest                               61d60bf0de77   2 months ago    3.088GB   1.443GB       1.646GB       0
test/sphinx-doc__sphinx-b91d763          latest                               da35a44c3b7a   2 months ago    2.918GB   1.443GB       1.475GB       0
test/sphinx-doc__sphinx-0ef96a7          latest                               54bcb97c9b90   2 months ago    2.917GB   1.443GB       1.474GB       0
test/pytest-dev__pytest-dd852de          latest                               ef33d6078feb   2 months ago    2.673GB   1.443GB       1.23GB        0
<none>                                   <none>                               c6b8140bc015   2 months ago    1.492GB   1.414GB       77.66MB       2
<none>                                   <none>                               80b52c283b60   2 months ago    1.417GB   1.414GB       2.456MB       2
<none>                                   <none>                               152772432cbf   2 months ago    1.494GB   1.414GB       80.42MB       2
<none>                                   <none>                               3025797d22b1   2 months ago    1.631GB   1.414GB       217.3MB       2
<none>                                   <none>                               30f28a42ad31   2 months ago    1.424GB   1.414GB       10.29MB       2
<none>                                   <none>                               c0fdde72173f   2 months ago    1.532GB   1.414GB       118.4MB       2
bench-base                               py312                                1d8013080beb   2 months ago    1.414GB   1.414GB       0B            0
<none>                                   <none>                               4cb567b05549   2 months ago    1.152GB   77.86MB       1.075GB       1
<none>                                   <none>                               9805a6ab12c8   2 months ago    1.152GB   77.86MB       1.075GB       1
<none>                                   <none>                               43c5d3218930   2 months ago    1.152GB   77.86MB       1.075GB       1
<none>                                   <none>                               837eeea9a412   2 months ago    1.152GB   77.86MB       1.075GB       1
<none>                                   <none>                               5c46b1edfdd8   2 months ago    398.8MB   77.86MB       320.9MB       3
python                                   3.10-slim                            ce19342c5d49   2 months ago    121.9MB   121.9MB       0B            0
test/sympy__sympy-5373bab                latest                               fec7c4bf8039   2 months ago    2.856GB   1.443GB       1.413GB       0
test/pytest-dev__pytest-d1b5052          latest                               d0fc824c5ef9   2 months ago    2.667GB   1.443GB       1.224GB       0
test/sphinx-doc__sphinx-3cfccf3          latest                               cf6de852ab8b   2 months ago    2.894GB   1.443GB       1.451GB       0
test/pytest-dev__pytest-6a7df7f          latest                               b41ed6313433   2 months ago    2.666GB   1.443GB       1.224GB       2
test/numpy__numpy-8df09df                latest                               c469ce3e8df0   2 months ago    3.231GB   1.443GB       1.789GB       0
test/pytest-dev__pytest-a0890f9          latest                               0a7523e260f5   2 months ago    2.665GB   1.443GB       1.223GB       0
test/pandas-dev__pandas-d481c13          latest                               623263f8a367   2 months ago    3.407GB   1.443GB       1.965GB       0
test/pandas-dev__pandas-f5ef132          latest                               d9ad64ce7436   2 months ago    3.407GB   1.443GB       1.964GB       0
<none>                                   <none>                               597ad143ec0c   2 months ago    1.443GB   1.443GB       1.362kB       1
<none>                                   <none>                               37df3639c06e   2 months ago    1.443GB   1.443GB       1.362kB       1
<none>                                   <none>                               c1cd988fcd88   2 months ago    1.443GB   1.443GB       1.428kB       1
test/numpy__numpy-3563c62                latest                               4a82189ef772   2 months ago    3.01GB    1.443GB       1.568GB       1
<none>                                   <none>                               840850a1a800   2 months ago    1.443GB   1.443GB       1.398kB       0
<none>                                   <none>                               82a037c1d367   2 months ago    3.474GB   1.443GB       2.032GB       0
test/astropy__astropy-edbd7f9            latest                               0c86eb33d4f6   2 months ago    3.309GB   1.443GB       1.867GB       0
test/astropy__astropy-636375f            latest                               19e97b2a2014   2 months ago    3.31GB    1.443GB       1.867GB       0
test/astropy__astropy-f0e3b1d            latest                               85d6b0223ec7   2 months ago    3.171GB   1.443GB       1.728GB       0
test/astropy__astropy-8f448d8            latest                               b54e3d761f7c   2 months ago    3.172GB   1.443GB       1.729GB       0
test/astropy__astropy-1b325db            latest                               640e4d987780   2 months ago    3.161GB   1.443GB       1.718GB       0
test/astropy__astropy-22d862f            latest                               30e1e8fe4bae   2 months ago    3.161GB   1.443GB       1.718GB       1
test/astropy__astropy-2b32e2e            latest                               83a3ffbd0a11   2 months ago    3.001GB   1.443GB       1.558GB       0
test/astropy__astropy-da39273            latest                               f9ce7896507f   2 months ago    3.072GB   1.443GB       1.629GB       1
test/astropy__astropy-cee2cb3            latest                               72d56c24e944   2 months ago    3.073GB   1.443GB       1.631GB       2
test-base/conda                          latest                               2b59bd587938   2 months ago    1.443GB   1.443GB       0B            0
docker.1ms.run/mvflc/backvault           latest                               1c826d3dcc43   3 months ago    1.077GB   0B            1.077GB       0
zen-mcp-server                           latest                               8434c767521b   3 months ago    1.074GB   1.001GB       72.53MB       0
<none>                                   <none>                               39c4a1e27bbf   3 months ago    9.888GB   77.82MB       9.81GB        1
zyk_method                               v2                                   783a9ed34368   4 months ago    9.906GB   72.81MB       9.833GB       1
redis                                    7-alpine                             13105d2858de   4 months ago    41.41MB   0B            41.41MB       2
quay.io/prometheus/node-exporter         latest                               2715d223fd46   4 months ago    25.69MB   0B            25.69MB       1
